app i itr dvfs rapl latency joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
flink 0 1 0x1d00 135 11.71 4802.86 95228 137230169 19818 24032817 40625249626.0 45677013151.0 3742
flink 0 4 0x1d00 135 10.17 4710.27 95126 137224310 19392 24019665 37156223550.0 38928655325.0 3597
flink 0 1 0x1b00 135 13.88 4818.99 95048 137215638 19069 24027595 47920444908.0 50943508126.0 3733
flink 0 4 0x1b00 135 9.75 4804.41 95294 137233263 20148 24050686 39594920178.0 43897658063.0 3895
--------------------------------------
flink 0 1 0x1d00 135 5.0 4769.73 95051 137223198 20266 24053878 40244927688.0 43444573315.0 3862
flink 0 4 0x1d00 135 14.33 4794.01 94985 137207714 20030 24036685 38795370884.0 39788913993.0 3610
flink 0 1 0x1b00 135 10.79 4730.32 95262 137237486 20138 24039344 44802090287.0 47092552306.0 3752
flink 0 4 0x1b00 135 11.25 4677.15 95201 137227305 19734 24041200 39166880013.0 42751206950.0 3736
--------------------------------------
flink 0 1 0x1d00 135 11.04 4794.2 95392 137240517 20101 24041766 41738811022.0 45996039686.0 3906
flink 0 4 0x1d00 135 12.25 4738.02 95351 137249396 20148 24067886 42947461062.0 42858520261.0 3789
flink 0 1 0x1b00 135 8.75 4751.78 95407 137256539 20485 24081960 47801997069.0 52374363747.0 4016
flink 0 4 0x1b00 135 9.5 4723.21 94976 137224573 19546 24051556 39564175835.0 44865247326.0 3826
--------------------------------------
flink 0 1 0x1d00 135 10.58 4785.61 94957 137210263 19560 24029723 40756689621.0 43967787255.0 3684
flink 0 4 0x1d00 135 12.25 4741.35 95120 137220119 19498 24038370 40032757887.0 41003370367.0 3627
flink 0 1 0x1b00 135 13.96 4806.73 94899 137204643 19571 24024082 48016583486.0 51315420656.0 3742
flink 0 4 0x1b00 135 12.79 4756.29 95159 137224661 19252 24032187 39506571040.0 42528229604.0 3653
--------------------------------------
