app i itr dvfs rapl latency joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
flink 0 50 0x0c00 135 54.79 4510.21 63026 92180235 9796 5248592 33206456816.0 83718475072.0 3375
flink 0 100 0x0c00 135 50.83 4471.44 63122 92193162 9871 5252263 31845116871.0 80467702179.0 3419
flink 0 50 0x1d00 135 7.04 4784.09 63383 92207250 9442 5208743 27810863312.0 33662820854.0 2686
flink 0 100 0x1d00 135 58.68 4790.86 63328 92200766 9184 5198418 25590380836.0 31901169396.0 2657
flink 0 50 0x0c00 135 58.46 4403.29 63159 92194427 9971 5265033 32431560946.0 79966691422.0 3407
flink 1 50 0x0c00 135 60.04 4483.98 62966 92178421 9445 5233002 40543312849.0 98106822839.0 3376
flink 2 50 0x0c00 135 56.42 4493.7 63117 92189722 9449 5234529 38794617040.0 95296792555.0 3402
flink 0 100 0x0c00 135 54.29 4499.38 63481 92211137 10058 5258027 34448666126.0 83730184228.0 3489
flink 1 100 0x0c00 135 49.33 4480.27 62864 92155020 8934 5204700 38004302828.0 91451438520.0 3245
flink 2 100 0x0c00 135 39.79 4503.22 63057 92191131 9457 5234694 36147513008.0 90888927318.0 3268
flink 0 50 0x1d00 135 8.92 4782.32 63296 92194476 9275 5206610 24369919572.0 30767996455.0 2620
flink 1 50 0x1d00 135 12.04 4763.13 63466 92212479 9786 5216077 27069133696.0 32791684663.0 2720
flink 2 50 0x1d00 135 55.6 4725.4 63116 92180493 9394 5205913 27888643369.0 33239586415.0 2646
flink 0 100 0x1d00 135 28.58 4753.82 63438 92216305 9645 5201313 28221582196.0 33296860632.0 2711
flink 1 100 0x1d00 135 61.0 4696.02 63204 92186172 9485 5205431 26227225592.0 31952293148.0 2716
flink 2 100 0x1d00 135 56.12 4732.65 63303 92194239 9148 5193934 22627159252.0 28773464963.0 2649
flink 0 50 0x0c00 135 9.33 4475.91 63344 92198906 9727 5241883 30671842848.0 76166446075.0 3497
flink 1 50 0x0c00 135 52.12 4492.6 63129 92191002 9779 5259815 36692743606.0 91205878236.0 3458
flink 2 50 0x0c00 135 10.71 4519.42 62980 92171099 9477 5230703 40846366125.0 98535650537.0 3351
flink 0 100 0x0c00 135 11.46 4475.59 63374 92210215 9790 5242381 33225707562.0 83411394304.0 3507
flink 1 100 0x0c00 135 49.92 4471.69 63165 92200020 9555 5255936 38395408871.0 94079947625.0 3549
flink 2 100 0x0c00 135 50.79 4449.01 63259 92189558 9482 5223179 38394812822.0 93375049439.0 3443
flink 0 50 0x1d00 135 51.92 4770.75 63137 92186702 9541 5201596 31643175438.0 36525409984.0 2813
flink 1 50 0x1d00 135 55.62 4796.41 63461 92212128 9571 5200358 28142287971.0 32643670983.0 2657
flink 2 50 0x1d00 135 61.92 4756.31 63341 92199971 9608 5218483 27720661591.0 33227088836.0 2701
flink 0 100 0x1d00 135 44.17 4775.86 63192 92189076 9748 5225451 28127447923.0 35330936901.0 2767
flink 1 100 0x1d00 135 9.46 4680.09 63293 92196639 9072 5190595 27204631805.0 31899929907.0 2657
flink 2 100 0x1d00 135 59.38 4788.91 62995 92170021 9431 5216107 27321582813.0 32731214182.0 2745
flink 0 50 0x0c00 135 62.46 4457.31 63086 92191914 9596 5229350 30885726697.0 77452200370.0 3398
flink 1 50 0x0c00 135 61.25 4463.65 63255 92198745 9957 5259471 38793098904.0 95061159899.0 3472
flink 2 50 0x0c00 135 59.12 4467.52 63022 92181636 9667 5242557 37082619174.0 92801083962.0 3387
flink 0 100 0x0c00 135 46.25 4422.31 63211 92196155 9366 5241325 29980649124.0 78290504849.0 3643
flink 1 100 0x0c00 135 48.08 4439.53 63247 92201111 9767 5232381 35356714004.0 87962303056.0 3373
flink 2 100 0x0c00 135 59.42 4443.71 63058 92183375 9422 5228809 38366954286.0 94915765615.0 3302
flink 0 50 0x1d00 135 11.12 4768.21 63182 92199990 9674 5218818 26887049096.0 31926768653.0 2670
flink 1 50 0x1d00 135 9.33 4784.29 63189 92189638 9688 5232186 25283069465.0 30794449211.0 2684
flink 2 50 0x1d00 135 64.88 4747.08 63434 92217571 9502 5224992 27153550591.0 32487190753.0 2762
flink 0 100 0x1d00 135 54.76 4771.0 63350 92199071 9581 5209385 26235829719.0 32235085140.0 2750
flink 1 100 0x1d00 135 8.71 4770.58 63252 92196045 9570 5212180 25547557644.0 31193329827.0 2677
flink 2 100 0x1d00 135 48.92 4771.57 63603 92219685 9906 5233002 25270498464.0 31040700565.0 2869
