app i itr dvfs rapl latency joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
flink 0 1 0x1d00 135 19.96 4725.28 63173 92187888 9657 5223618 29128751189.0 34771405217.0 2723
flink 0 4 0x1d00 135 57.12 4737.84 63423 92202476 9440 5192685 24444407528.0 30417864114.0 2693
flink 0 1 0x1b00 135 36.74 4678.54 63537 92214012 9753 5224307 32722361940.0 39586545700.0 2853
flink 0 4 0x1b00 135 55.46 4766.83 63178 92188526 10014 5227670 28278692754.0 34643396259.0 2746
--------------------------------------
flink 0 1 0x1d00 135 55.12 4720.1 63289 92200828 9834 5236508 29437462088.0 36077105132.0 2801
flink 0 4 0x1d00 135 58.0 4785.44 63114 92183648 9823 5209040 25738708654.0 31966074963.0 2713
flink 0 1 0x1b00 135 14.54 4711.45 63525 92221082 9960 5242369 34650897113.0 42654762462.0 2898
flink 0 4 0x1b00 135 62.79 4750.32 63362 92198989 9705 5214027 28174926719.0 34990505872.0 2713
--------------------------------------
flink 0 1 0x1d00 135 45.62 4764.42 63466 92210871 9934 5228894 29993838805.0 36440423164.0 2828
flink 0 4 0x1d00 135 6.5 4697.81 63386 92203519 9413 5201684 24806285166.0 29850597579.0 2662
flink 0 1 0x1b00 135 57.16 4746.9 63372 92200677 9397 5207513 32344907987.0 39953931852.0 2756
flink 0 4 0x1b00 135 60.16 4722.86 63332 92194679 9278 5202372 23454053885.0 30991280969.0 2736
--------------------------------------
flink 0 1 0x1d00 135 65.0 4766.38 63261 92193666 9579 5207735 27057888312.0 34097419929.0 2803
flink 0 4 0x1d00 135 6.22 4732.41 63456 92213772 9632 5217195 26522976307.0 31517223229.0 2751
flink 0 1 0x1b00 135 10.29 4768.69 63352 92201545 9481 5210222 36429852622.0 43148039905.0 2811
flink 0 4 0x1b00 135 58.38 4722.42 63220 92176825 9162 5190926 27182501819.0 34962129227.0 2663
--------------------------------------
flink 0 1 0x1d00 135 54.33 4756.82 63212 92194998 9700 5221346 29797217456.0 36471982820.0 2825
flink 0 4 0x1d00 135 56.71 4718.62 63382 92205690 9846 5222877 25610609791.0 31112848215.0 2668
flink 0 1 0x1b00 135 60.88 4814.61 63348 92204286 9486 5227414 34611842385.0 42558538200.0 2806
flink 0 4 0x1b00 135 10.58 4733.42 63509 92211422 9785 5230790 26946110532.0 35279361184.0 2781
--------------------------------------
flink 0 1 0x1d00 135 57.54 4730.79 63311 92197722 9661 5216733 24497987936.0 31222378170.0 2800
flink 0 4 0x1d00 135 49.38 4721.27 63441 92201927 9509 5209310 25081912855.0 30047747351.0 2624
flink 0 1 0x1b00 135 59.54 4710.3 63367 92202481 9327 5198445 35827266815.0 41968773639.0 2757
flink 0 4 0x1b00 135 53.25 4676.19 63082 92191699 9548 5230355 25012216905.0 32657597189.0 2795
--------------------------------------
